trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
160,False,"{'a': 0.9, 'e': 0.8521437889662113}",25,0,-64.70343746237056,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
161,False,"{'a': 0.9, 'e': 0.8512920711071511}",25,0,-150.5351944337666,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
162,False,"{'a': 0.9, 'e': 0.850441204540233}",25,2,-45.06651128676378,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 0}",1
163,False,"{'a': 0.9, 'e': 0.8495911884145902}",30,0,-152.7248341899859,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
164,False,"{'a': 0.9, 'e': 0.8487420218802066}",20,0,-173.60750201375438,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 4}",0
165,False,"{'a': 0.9, 'e': 0.8478937040879158}",20,16,7.928676881863604,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.9, 'e': 0.8470462341893996}",20,11,-27.10189118305352,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
167,False,"{'a': 0.9, 'e': 0.8461996113371884}",20,0,-77.2058046506306,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
168,False,"{'a': 0.9, 'e': 0.8453538346846587}",20,0,-126.75274475322307,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
169,False,"{'a': 0.9, 'e': 0.8445089033860342}",20,0,-25.524620391473377,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
170,False,"{'a': 0.9, 'e': 0.8436648165963837}",25,0,-87.93292832409828,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
171,False,"{'a': 0.9, 'e': 0.8428215734716199}",20,0,-95.492293141316,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
172,False,"{'a': 0.9, 'e': 0.8419791731684998}",35,0,-122.08764407202732,"{0: 21, 1: 5, 2: 8, 3: 0, 4: 1}",0
173,False,"{'a': 0.9, 'e': 0.8411376148446232}",20,0,-55.82045923187613,"{0: 9, 1: 7, 2: 4, 3: 0, 4: 0}",0
174,False,"{'a': 0.9, 'e': 0.8402968976584314}",25,0,-121.34472393619946,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
175,False,"{'a': 0.9, 'e': 0.8394570207692074}",20,0,-85.66812899530134,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
